do_file,year,quarter,current_hh,current_ind,computed_hh,computed_ind,match
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2005_ENOE-Q1/MEX_2005_ENOE_V01_M_V07_A_GLD/Programs/MEX_2005_ENOE_V01_M_V07_A_GLD_ALL.do,2005,Q1,102856,409098,102856,409098,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2005_ENOE-Q2/MEX_2005_ENOE_V01_M_V07_A_GLD/Programs/MEX_2005_ENOE_V01_M_V07_A_GLD_ALL.do,2005,Q2,104083,411560,104083,411560,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2005_ENOE-Q3/MEX_2005_ENOE_V01_M_V07_A_GLD/Programs/MEX_2005_ENOE_V01_M_V07_A_GLD_ALL.do,2005,Q3,104764,412851,104764,412851,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2005_ENOE-Q4/MEX_2005_ENOE_V01_M_V07_A_GLD/Programs/MEX_2005_ENOE_V01_M_V07_A_GLD_ALL.do,2005,Q4,105675,415782,105675,415782,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2006_ENOE-Q1/MEX_2006_ENOE_V01_M_V07_A_GLD/Programs/MEX_2006_ENOE_V01_M_V07_A_GLD_ALL.do,2006,Q1,106939,418173,106939,418173,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2006_ENOE-Q2/MEX_2006_ENOE_V01_M_V07_A_GLD/Programs/MEX_2006_ENOE_V01_M_V07_A_GLD_ALL.do,2006,Q2,106854,416604,106854,416604,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2006_ENOE-Q3/MEX_2006_ENOE_V01_M_V07_A_GLD/Programs/MEX_2006_ENOE_V01_M_V07_A_GLD_ALL.do,2006,Q3,106900,415294,106900,415294,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2006_ENOE-Q4/MEX_2006_ENOE_V01_M_V07_A_GLD/Programs/MEX_2006_ENOE_V01_M_V07_A_GLD_ALL.do,2006,Q4,106809,413831,106809,413831,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2007_ENOE-Q1/MEX_2007_ENOE_V01_M_V07_A_GLD/Programs/MEX_2007_ENOE_V01_M_V07_A_GLD_ALL.do,2007,Q1,107583,416308,107583,416308,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2007_ENOE-Q2/MEX_2007_ENOE_V01_M_V07_A_GLD/Programs/MEX_2007_ENOE_V01_M_V07_A_GLD_ALL.do,2007,Q2,107468,414711,107468,414711,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2007_ENOE-Q3/MEX_2007_ENOE_V01_M_V07_A_GLD/Programs/MEX_2007_ENOE_V01_M_V07_A_GLD_ALL.do,2007,Q3,106515,410379,106515,410379,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2007_ENOE-Q4/MEX_2007_ENOE_V01_M_V07_A_GLD/Programs/MEX_2007_ENOE_V01_M_V07_A_GLD_ALL.do,2007,Q4,104397,402246,104397,402246,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2008_ENOE-Q1/MEX_2008_ENOE_V01_M_V07_A_GLD/Programs/MEX_2008_ENOE_V01_M_V07_A_GLD_ALL.do,2008,Q1,106463,409246,106463,409246,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2008_ENOE-Q2/MEX_2008_ENOE_V01_M_V07_A_GLD/Programs/MEX_2008_ENOE_V01_M_V07_A_GLD_ALL.do,2008,Q2,106147,407860,106147,407860,yes
/Users/israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2008_ENOE-Q3/MEX_2008_ENOE_V01_M_V07_A_GLD/Programs/MEX_2008_ENOE_V01_M_V07_A_GLD_ALL.do,2008,Q3,104831,402252,104831,402252,yes
