year,month,rural,urban
1992,1,124.78,169.99
1992,2,125.89,171.71
1992,3,127.45,173.37
1992,4,129.10,175.39
1992,5,127.91,174.97
1992,6,127.92,175.31
1992,7,127.75,175.21
1992,8,127.03,174.86
1992,9,127.06,175.09
1992,10,127.98,175.95
1992,11,130.01,177.90
1992,12,134.89,182.80
1993,1,137.39,186.02
1993,2,137.07,186.31
1993,3,134.98,184.54
1993,4,133.87,183.66
1993,5,135.07,184.91
1993,6,135.72,185.61
1993,7,135.47,185.47
1993,8,135.46,185.98
1993,9,136.63,187.30
1993,10,136.66,187.62
1993,11,137.39,188.46
1993,12,140.48,191.48
1994,1,142.35,193.85
1994,2,140.74,192.51
1994,3,139.83,191.74
1994,4,139.70,191.95
1994,5,139.94,192.09
1994,6,140.49,192.76
1994,7,141.62,194.16
1994,8,142.12,194.97
1994,9,142.57,195.60
1994,10,142.63,195.95
1994,11,143.76,197.20
1994,12,145.81,199.32
1995,1,151.24,206.91
1995,2,156.92,215.38
1995,3,163.59,224.12
1995,4,174.18,237.37
1995,5,182.82,248.00
1995,6,189.92,256.94
1995,7,194.33,262.80
1995,8,196.74,266.59
1995,9,199.15,270.18
1995,10,203.75,275.51
1995,11,212.37,285.50
1995,12,222.89,299.21
1996,1,232.28,312.47
1996,2,238.44,320.37
1996,3,243.13,326.56
1996,4,251.46,337.76
1996,5,258.59,346.32
1996,6,263.39,352.40
1996,7,266.75,357.09
1996,8,269.31,360.73
1996,9,273.93,366.95
1996,10,277.63,371.63
1996,11,283.23,378.36
1996,12,291.76,390.66
1997,1,301.61,403.41
1997,2,303.11,406.61
1997,3,303.67,408.04
1997,4,306.65,412.06
1997,5,308.73,415.18
1997,6,309.69,417.47
1997,7,312.12,420.76
1997,8,314.02,423.33
1997,9,317.35,427.38
1997,10,318.20,429.61
1997,11,321.35,433.95
1997,12,327.25,441.22
1998,1,336.11,453.63
1998,2,346.43,466.28
1998,3,352.23,473.37
1998,4,354.17,476.81
1998,5,354.72,478.14
1998,6,356.45,479.53
1998,7,360.84,484.20
1998,8,364.79,489.60
1998,9,369.94,496.64
1998,10,376.16,503.92
1998,11,381.99,510.87
1998,12,396.80,527.32
1999,1,412.34,544.33
1999,2,412.26,547.49
1999,3,407.70,544.55
1999,4,407.03,545.34
1999,5,408.34,548.09
1999,6,408.95,549.78
1999,7,410.42,552.27
1999,8,411.34,554.97
1999,9,412.04,556.51
1999,10,413.34,558.97
1999,11,415.60,562.05
1999,12,424.08,573.11
2000,1,430.47,581.24
