year,quarter,rural,urban,months
1992,1,126.04,171.69,3
1992,2,128.31,175.22,3
1992,3,127.28,175.05,3
1992,4,130.96,178.88,3
1993,1,136.48,185.62,3
1993,2,134.89,184.73,3
1993,3,135.85,186.25,3
1993,4,138.18,189.19,3
1994,1,140.97,192.70,3
1994,2,140.04,192.27,3
1994,3,142.10,194.91,3
1994,4,144.07,197.49,3
1995,1,157.25,215.47,3
1995,2,182.31,247.44,3
1995,3,196.74,266.52,3
1995,4,213.00,286.74,3
1996,1,237.95,319.80,3
1996,2,257.81,345.49,3
1996,3,270.00,361.59,3
1996,4,284.21,380.22,3
1997,1,302.80,406.02,3
1997,2,308.36,414.90,3
1997,3,314.50,423.82,3
1997,4,322.27,434.93,3
1998,1,344.92,464.43,3
1998,2,355.11,478.16,3
1998,3,365.19,490.15,3
1998,4,384.98,514.04,3
1999,1,410.77,545.46,3
1999,2,408.11,547.74,3
1999,3,411.27,554.58,3
1999,4,417.67,564.71,3
2000,1,429.86,581.48,3
2000,2,434.48,587.22,3
2000,3,444.79,601.40,3
2000,4,455.27,614.16,3
2001,1,457.37,619.46,3
2001,2,461.88,625.97,3
2001,3,466.24,632.31,3
2001,4,477.31,643.67,3
2002,1,476.70,647.36,3
2002,2,482.14,653.96,3
2002,3,489.26,662.89,3
2002,4,495.41,669.85,3
2003,1,505.90,683.94,3
2003,2,506.43,685.94,3
2003,3,512.10,692.14,3
2003,4,524.91,706.19,3
2004,1,531.77,717.71,3
2004,2,534.39,721.79,3
2004,3,545.21,735.35,3
2004,4,577.75,770.77,3
2005,1,556.78,754.20,3
2005,2,581.33,778.81,3
2005,3,579.00,779.81,3
2005,4,574.19,777.34,3
2006,1,589.73,793.88,3
2006,2,583.12,788.75,3
2006,3,599.09,805.16,3
2006,4,629.22,834.08,3
2007,1,641.50,851.23,3
2007,2,629.76,840.49,3
2007,3,634.21,846.91,3
2007,4,650.59,866.83,3
2008,1,655.79,875.77,3
2008,2,671.92,893.87,3
2008,3,689.23,915.77,3
2008,4,715.18,945.75,3
2009,1,724.50,959.84,3
2009,2,747.36,982.88,3
2009,3,758.12,996.59,3
2009,4,759.10,998.91,3
2010,1,780.73,1026.57,3
2010,2,769.93,1017.39,3
2010,3,757.71,1008.45,3
2010,4,779.66,1032.81,3
2011,1,791.31,1049.07,3
2011,2,793.00,1049.74,3
2011,3,794.21,1051.53,3
2011,4,817.32,1076.46,3
2012,1,843.60,1106.36,3
2012,2,847.74,1113.08,3
2012,3,884.25,1152.23,3
2012,4,901.01,1172.86,3
2013,1,908.25,1185.68,3
2013,2,918.90,1197.91,3
2013,3,913.56,1197.24,3
2013,4,934.09,1220.45,3
2014,1,952.71,1252.56,3
2014,2,939.94,1243.86,3
2014,3,954.15,1264.97,3
2014,4,982.12,1295.15,3
2015,1,981.50,1296.14,3
2015,2,985.56,1300.42,3
2015,3,992.04,1312.35,3
2015,4,1006.05,1329.88,3
2016,1,1039.95,1366.93,3
2016,2,1028.42,1359.11,3
2016,3,1025.84,1358.61,3
2016,4,1054.02,1388.35,3
2017,1,1061.68,1407.01,3
2017,2,1090.56,1439.17,3
2017,3,1136.26,1490.80,3
2017,4,1141.14,1501.22,3
2018,1,1144.85,1509.99,3
2018,2,1139.69,1508.32,3
2018,3,1159.55,1537.71,3
2018,4,1186.53,1564.27,3
2019,1,1209.52,1594.81,3
2019,2,1209.34,1597.63,3
2019,3,1212.42,1604.31,3
2019,4,1225.79,1619.78,3
2020,1,1266.14,1664.71,3
2020,2,1282.64,1682.02,3
2020,3,1298.60,1701.39,3
2020,4,1313.92,1719.75,3
2021,1,1317.79,1732.14,3
2021,2,1358.60,1777.32,3
2021,3,1400.08,1828.63,3
2021,4,1443.29,1877.13,3
2022,1,1498.46,1951.74,3
2022,2,1530.41,1990.99,3
2022,3,1597.57,2081.04,3
2022,4,1625.32,2115.73,3
2023,1,1651.91,2154.34,3
2023,2,1665.47,2176.94,3
2023,3,1697.79,2218.76,3
2023,4,1716.25,2239.99,3
2024,1,1768.38,2303.21,3
2024,2,1762.85,2301.81,3
2024,3,1797.26,2350.35,3
2024,4,1796.86,2357.49,3
2025,1,1793.54,2369.94,3
2025,2,1836.75,2423.77,3
2025,3,1852.76,2453.38,3
2025,4,1851.06,2459.96,3
