survey_id,variable,metric,value,weighted
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,missing_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,non_missing_n,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,zero_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,mean,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,sd,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,max,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,min,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,num,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,skewness,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,kurtosis,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p01,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p05,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p10,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p25,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p50,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p75,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p90,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p95,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p99,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,missing_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,zero_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,mean_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,sd_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p01_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p05_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p10_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p25_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p50_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p75_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p90_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p95_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,year,p99_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,missing_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,non_missing_n,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,zero_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,mean,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,sd,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,max,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,min,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,num,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,skewness,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,kurtosis,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p01,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p05,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p10,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p25,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p50,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p75,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p90,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p95,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p99,2025.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,missing_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,zero_share_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,mean_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,sd_w,0.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p01_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p05_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p10_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p25_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p50_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p75_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p90_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p95_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_year,p99_w,2025.0,yes
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,missing_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,non_missing_n,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,zero_share,0.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,mean,10.903761097184752,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,sd,0.9171123556998892,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,max,12.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,min,1.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,num,408099.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,skewness,-0.9341889189365087,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,kurtosis,7.604900572032291,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p01,9.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p05,10.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p10,10.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p25,10.0,no
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,int_month,p50,11.0,no
