survey_id,module,check_id,variable,description,severity,failed_n,failed_ratio
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Labour,labour.nlf_week_skip_pattern,industrycat_isic,Variable industrycat_isic has labour answers for 7-day NLF,1,147319.0,0.36098838762163105
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Labour,labour.nlf_week_skip_pattern,industrycat_isic_2,Variable industrycat_isic_2 has labour answers for 7-day NLF,1,147319.0,0.36098838762163105
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Labour,labour.nlf_week_skip_pattern,occup_isco,Variable occup_isco has labour answers for 7-day NLF,1,147319.0,0.36098838762163105
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Labour,labour.nlf_week_skip_pattern,occup_isco_2,Variable occup_isco_2 has labour answers for 7-day NLF,1,147319.0,0.36098838762163105
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Labour,labour.nlfreason_partial_missing_week,nlfreason,Some NLF individuals answered nlfreason while others did not,1,30.0,0.00020363972060630334
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Labour,labour.unemployed_week_skip_pattern,industrycat_isic,Variable industrycat_isic has labour answers for 7-day unemployed,1,5462.0,0.013384007311951267
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Labour,labour.unemployed_week_skip_pattern,industrycat_isic_2,Variable industrycat_isic_2 has labour answers for 7-day unemployed,1,5462.0,0.013384007311951267
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Labour,labour.unemployed_week_skip_pattern,occup_isco,Variable occup_isco has labour answers for 7-day unemployed,1,5462.0,0.013384007311951267
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Labour,labour.unemployed_week_skip_pattern,occup_isco_2,Variable occup_isco_2 has labour answers for 7-day unemployed,1,5462.0,0.013384007311951267
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.categorical_range,t_hours_annual,"Variable values outside of range 1, 3120",1,7877.0,0.01930168905094107
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.categorical_range,t_hours_total,"Variable values outside of range 1, 3120",1,7877.0,0.01930168905094107
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.categorical_range,whours,"Variable values outside of range 1, 84",1,3156.0,0.007733417626605309
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.invariant_changes,minlaborage,Invariant variable takes 2+ values,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.not_unique_within_hh,hsize,Variable is not unique within HH,99,143398.0,0.3513804248478923
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.string_type_mismatch,subnatid1,A string var is not string,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.string_type_mismatch,subnatid2,A string var is not string,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.string_type_mismatch,subnatid3,A string var is not string,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,comm_dsablty,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,conc_dsord,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,contract_year,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,educat_isced,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,educat_orig,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,empstat_2_year,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,empstat_year,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,eye_dsablty,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,firmsize_l_2_year,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,firmsize_l_year,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,firmsize_u_2_year,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,firmsize_u_year,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,gaul_adm1_code,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,gaul_adm2_code,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,gaul_adm3_code,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,healthins,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,healthins_year,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,hear_dsablty,Variable not in data,1,,
MEX_2025_ENOE_V01_M_V07_A_GLD_ALL,Overall,overall.variable_not_in_data,industry_orig_2_year,Variable not in data,1,,
