do_file,year,quarter,current_hh,current_ind,computed_hh,computed_ind,match
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2005_ENOE-Q1/MEX_2005_ENOE_V01_M_V06_A_GLD/Programs/MEX_2005_ENOE_V01_M_V06_A_GLD_ALL.do,2005,Q1,102856,409098,102856,409098,yes
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2005_ENOE-Q2/MEX_2005_ENOE_V01_M_V06_A_GLD/Programs/MEX_2005_ENOE_V01_M_V06_A_GLD_ALL.do,2005,Q2,104083,411560,104083,411560,yes
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2005_ENOE-Q3/MEX_2005_ENOE_V01_M_V06_A_GLD/Programs/MEX_2005_ENOE_V01_M_V06_A_GLD_ALL.do,2005,Q3,104764,412851,104764,412851,yes
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2005_ENOE-Q4/MEX_2005_ENOE_V01_M_V06_A_GLD/Programs/MEX_2005_ENOE_V01_M_V06_A_GLD_ALL.do,2005,Q4,105675,415782,105675,415782,yes
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2006_ENOE-Q1/MEX_2006_ENOE_V01_M_V06_A_GLD/Programs/MEX_2006_ENOE_V01_M_V06_A_GLD_ALL.do,2006,Q1,106939,418173,106939,418173,yes
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2006_ENOE-Q2/MEX_2006_ENOE_V01_M_V06_A_GLD/Programs/MEX_2006_ENOE_V01_M_V06_A_GLD_ALL.do,2006,Q2,106939,418173,106854,416604,no
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2006_ENOE-Q3/MEX_2006_ENOE_V01_M_V06_A_GLD/Programs/MEX_2006_ENOE_V01_M_V06_A_GLD_ALL.do,2006,Q3,107583,416308,106900,415294,no
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2006_ENOE-Q4/MEX_2006_ENOE_V01_M_V06_A_GLD/Programs/MEX_2006_ENOE_V01_M_V06_A_GLD_ALL.do,2006,Q4,107583,416308,106809,413831,no
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2007_ENOE-Q1/MEX_2007_ENOE_V01_M_V06_A_GLD/Programs/MEX_2007_ENOE_V01_M_V06_A_GLD_ALL.do,2007,Q1,107583,416308,107583,416308,yes
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2007_ENOE-Q2/MEX_2007_ENOE_V01_M_V06_A_GLD/Programs/MEX_2007_ENOE_V01_M_V06_A_GLD_ALL.do,2007,Q2,107583,416308,107468,414711,no
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2007_ENOE-Q3/MEX_2007_ENOE_V01_M_V06_A_GLD/Programs/MEX_2007_ENOE_V01_M_V06_A_GLD_ALL.do,2007,Q3,107583,416308,106515,410379,no
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2007_ENOE-Q4/MEX_2007_ENOE_V01_M_V06_A_GLD/Programs/MEX_2007_ENOE_V01_M_V06_A_GLD_ALL.do,2007,Q4,107583,416308,104397,402246,no
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2008_ENOE-Q1/MEX_2008_ENOE_V01_M_V06_A_GLD/Programs/MEX_2008_ENOE_V01_M_V06_A_GLD_ALL.do,2008,Q1,106463,409246,106463,409246,yes
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2008_ENOE-Q2/MEX_2008_ENOE_V01_M_V06_A_GLD/Programs/MEX_2008_ENOE_V01_M_V06_A_GLD_ALL.do,2008,Q2,106463,409246,106147,407860,no
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2008_ENOE-Q3/MEX_2008_ENOE_V01_M_V06_A_GLD/Programs/MEX_2008_ENOE_V01_M_V06_A_GLD_ALL.do,2008,Q3,106463,409246,104831,402252,no
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2008_ENOE-Q4/MEX_2008_ENOE_V01_M_V06_A_GLD/Programs/MEX_2008_ENOE_V01_M_V06_A_GLD_ALL.do,2008,Q4,106463,409246,104116,399994,no
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2009_ENOE-Q1/MEX_2009_ENOE_V01_M_V06_A_GLD/Programs/MEX_2009_ENOE_V01_M_V06_A_GLD_ALL.do,2009,Q1,105129,394435,104553,399930,no
/Users/Israel/Library/CloudStorage/OneDrive-Personal/IOR/Projects/Y2025/FY25_MEX_MinimumWage/ENOE_PANEL/MEX_2009_ENOE-Q2/MEX_2009_ENOE_V01_M_V06_A_GLD/Programs/MEX_2009_ENOE_V01_M_V06_A_GLD_ALL.do,2009,Q2,105129,394435,104355,398229,no
